"rank","full_name","stars","forks","open_issues","language","license","updated_at","pushed_at","description","html_url","topics"
"86","nitefood/asn","1901","196","3","Shell","MIT","2026-06-24T09:08:57Z","2026-06-22T11:05:19Z","ASN / RPKI validity / BGP stats / IPv4v6 / Prefix / URL / ASPath / Organization / IP reputation / IP geolocation / IP fingerprinting / Network recon / lookup API server / Web traceroute server","https://github.com/nitefood/asn","api; as-path; asn; asn-lookup; autonomous-systems; bash; bgp; fingerprinting; geolocation; incident-response; ip-lookup; ip-reputation; mtr; osint; recon; rpki; shodan; team-cymru; traceroute; whois"
"87","megadose/ignorant","1876","273","42","Python","GPL-3.0","2026-06-24T15:11:20Z","2024-07-27T06:11:44Z","ignorant allows you to check if a phone number is used on different sites like snapchat, instagram.","https://github.com/megadose/ignorant","amazon; instagram; osint; phone-number; python; snapchat; trio"
"88","0xInfection/TIDoS-Framework","1864","392","16","Python","GPL-3.0","2026-06-21T05:41:57Z","2023-04-19T19:02:06Z","The Offensive Manual Web Application Penetration Testing Framework.","https://github.com/0xInfection/TIDoS-Framework","enumeration; exploitation; footprinting; intelligence-gathering; osint; reconnaissance; scanning-enumeration; tidos-framework; vulnerability-analysis; vulnerability-detection; web-application-security; web-fuzzer; web-penetration-testing"
"89","osintambition/Social-Media-OSINT-Tools-Collection","1849","218","15",,"GPL-3.0","2026-06-24T15:30:21Z","2026-01-30T14:43:22Z","A collection of most useful osint tools for SOCINT.","https://github.com/osintambition/Social-Media-OSINT-Tools-Collection","humint; osint; osint-resources; osint-toolkit; osint-tools; osinttool; social; social-media; socint; socmint"
"90","The-Osint-Toolbox/Telegram-OSINT","1848","163","1",,"","2026-06-24T09:09:30Z","2026-05-17T09:49:09Z","In-depth repository of Telegram OSINT resources covering, tools, techniques & tradecraft.","https://github.com/The-Osint-Toolbox/Telegram-OSINT","blogs; bot; browser-extension; channel-lookup; cmd-line-tools; custom-search-engine; group-lookup; osint; telegram; telegram-bot"
"91","ninoseki/mitaka","1810","190","1","TypeScript","MIT","2026-06-24T15:18:56Z","2026-06-16T00:31:49Z","A browser extension for OSINT search","https://github.com/ninoseki/mitaka","chrome-extension; osint; security; threat-intelligence"
"92","1N3/BlackWidow","1809","393","3","Python","NOASSERTION","2026-06-19T11:41:09Z","2026-04-17T12:35:56Z","A Python based web application scanner to gather OSINT and fuzz for OWASP vulnerabilities on a target website.","https://github.com/1N3/BlackWidow","active; application; automated; bugbounty; csrf; fuzzer; lfi; osint; owasp; passive; python; rce; rfi; scan; scanner; spider; sqli; vulnerability; web; xss"
"93","x0rz/phishing_catcher","1807","363","44","Python","GPL-3.0","2026-06-21T05:42:09Z","2024-08-13T22:18:01Z","Phishing catcher using Certstream","https://github.com/x0rz/phishing_catcher","certificate-transparency; osint; phishing; threat-intelligence; threatintel"
"94","iojw/socialscan","1783","213","14","Python","MPL-2.0","2026-06-23T18:10:49Z","2026-04-27T21:56:17Z","Python library for accurately querying username and email usage on online platforms","https://github.com/iojw/socialscan","cli; email; email-checker; osint; social-media; username; username-checker"
"95","Yvesssn/DetectDee","1771","232","15","Go","Apache-2.0","2026-06-23T11:30:43Z","2023-08-26T09:42:08Z","DetectDee: Hunt down social media accounts by username, email or phone across social networks.","https://github.com/Yvesssn/DetectDee","collision-detection; credi; golang; linux; macos; osint; redteam; soical-enginering-attack; windows"
"96","fsociety-team/fsociety","1760","210","20","Python","MIT","2026-06-24T04:14:15Z","2026-05-25T19:04:40Z","A Modular Penetration Testing Framework","https://github.com/fsociety-team/fsociety","cli; docker; fsociety; osint; penetration-testing; python; python3"
"97","initstring/linkedin2username","1746","218","1","Python","MIT","2026-06-22T11:22:18Z","2026-05-20T23:16:42Z","OSINT Tool: Generate username lists for companies on LinkedIn","https://github.com/initstring/linkedin2username","hacking; osint; penetration-testing; pentesting"
"98","megadose/OnionSearch","1713","221","17","Python","GPL-3.0","2026-06-24T09:08:53Z","2024-08-08T11:31:59Z","OnionSearch is a script that scrapes urls on different .onion search engines. ","https://github.com/megadose/OnionSearch","ahmia; deeplink; information-gathering; onion; open-source-intelligence; osint; osint-tools; phobos; pypi; python; scrapes-urls; search-engines"
"99","utkusen/urlhunter","1683","115","0","Go","MIT","2026-06-21T05:42:26Z","2025-01-23T15:48:12Z","a recon tool that allows searching on URLs that are exposed via shortener services","https://github.com/utkusen/urlhunter","bugbounty; intelligence; osint; recon; security"
"100","unicodeveloper/globalthreatmap","1679","278","23","TypeScript","","2026-06-24T09:10:11Z","2026-04-20T11:14:41Z","Global threat map. Learn wars, conflicts, military bases and history of nations. ","https://github.com/unicodeveloper/globalthreatmap","ai; ai-agents; ai-assistant; intelligence; nato; osint; osint-tool; real-time; usa-military; valyu-ai"
