"rank","full_name","stars","forks","open_issues","language","license","updated_at","pushed_at","description","html_url","topics"
"28","jofpin/trape","8717","1344","250","Python","","2026-06-24T10:16:53Z","2024-06-20T19:04:00Z","People tracker on the Internet: OSINT analysis and research tool by Jose Pino","https://github.com/jofpin/trape","flask; footprint; hacking; hacking-tool; jose-pino; osint; phising; python; recognition; security; social-engineering; tracking"
"29","yogeshojha/rengine","8705","1332","161","HTML","GPL-3.0","2026-06-24T07:56:59Z","2026-03-21T01:04:45Z","reNgine is an automated reconnaissance framework for web applications with a focus on highly configurable streamlined recon process via Engines, recon data correlation and organization, continuous monitoring, backed by a database, and simple yet intuitive User Interface. reNgine makes it easy for penetration testers to gather reconnaissance with minimal configuration and with the help of reNgine's correlation, it just makes recon effortless.","https://github.com/yogeshojha/rengine","bug-bounty; bugbounty; hacking; information-gathering; infosec; osint; penetration-testing; pentesting; recon; recon-engine; reconnaissance; rengine; scanner; scanner-web; scanning; security-tools"
"30","cipher387/osint_stuff_tool_collection","8283","937","70","HTML","","2026-06-24T14:45:13Z","2026-05-12T12:42:04Z","A collection of several hundred online tools for OSINT","https://github.com/cipher387/osint_stuff_tool_collection","awesome; awesome-list; cybersecurity; geoint; hacking; humint; osint; socmint; tools; toolset"
"31","six2dez/reconftw","7728","1190","4","Shell","MIT","2026-06-24T13:13:48Z","2026-05-15T07:49:46Z","reconFTW is a tool designed to perform automated recon on a target domain by running the best set of tools to perform scanning and finding out vulnerabilities","https://github.com/six2dez/reconftw","bug-bounty; bugbounty; bugbounty-tool; dns; hacking; nuclei; osint; penetration-testing; pentest; pentest-tool; pentesting; recon; reconnaissance; scanner; security; security-tools; subdomain; subdomain-enumeration; vulnerabilities"
"32","reconurge/flowsint","6998","854","43","TypeScript","Apache-2.0","2026-06-24T14:45:41Z","2026-06-24T07:29:32Z","A modern platform for visual, flexible, and extensible graph-based investigations. For cybersecurity analysts and investigators.","https://github.com/reconurge/flowsint","investigation; osint; python; recon"
"33","p1ngul1n0/blackbird","6561","737","14","Python","","2026-06-24T13:50:54Z","2025-07-13T13:48:19Z","An OSINT tool to search for accounts by username and email in social networks.","https://github.com/p1ngul1n0/blackbird","cybersecurity; osint; pentesting; python"
"34","j3ssie/osmedeus","6433","1013","6","Go","MIT","2026-06-24T03:23:23Z","2026-06-01T05:13:48Z","A Modern Orchestration Engine for Security","https://github.com/j3ssie/osmedeus","agentic-ai; attack-surface-management; bugbounty; go; hacking; hacking-tool; llm; osint; penetration-testing; pentesting; reconnaissance; security; security-tools; workflow-engine; workflows"
"35","alpkeskin/mosint","5897","640","27","Go","MIT","2026-06-24T09:08:59Z","2024-02-02T13:10:43Z","An automated e-mail OSINT tool","https://github.com/alpkeskin/mosint","automation; data-breach; email; email-checker; go; hacking; information-gathering; osint; osint-tool; pentest; pwn; python-hacking; social-media; socmint; verification-service"
"36","elceef/dnstwist","5692","848","17","Python","Apache-2.0","2026-06-23T12:41:53Z","2025-04-15T18:41:47Z","Domain name permutation engine for detecting homograph phishing attacks, typo squatting, and brand impersonation","https://github.com/elceef/dnstwist","dns; domains; fuzzing; homoglyph; homograph-attack; idn; osint; phishing; scanner; threat-hunting; threat-intelligence; typosquatting"
"37","apurvsinghgautam/robin","5577","1088","16","Python","MIT","2026-06-24T14:25:57Z","2026-06-02T22:30:18Z","AI-Powered Dark Web OSINT Tool","https://github.com/apurvsinghgautam/robin","ai-tool; darkweb; darkweb-osint; investigation-tool; llm-powered; osint; osint-tool"
